DBID,z,lbol,lbol_err,lr_g,lr_r,lr_i,tau_o_g,tau_o_r,tau_o_i,tau_o_gl,tau_o_rl,tau_o_il,tau_o_gu,tau_o_ru,tau_o_iu,tau_r_g,tau_r_r, tau_r_i,tau_r_gl,tau_r_rl,tau_r_il,tau_r_gu,tau_r_ru,tau_r_iu,lr_g_o,lr_r_o,lr_i_o,skewa_g,skewloc_g,skewscale_g,skewa_r,skewloc_r,skewscale_r,skewa_i,skewloc_i,skewscale_i
2491276.0,1.250800014,46.05251766155039,0.016904328740036334,2256.279290185831,2947.353513028913,3606.735762613619,2.971573513601124,3.001566723748044,3.0813594456946567,0.23195993184701402,0.2249759834760403,0.26902764847635785,0.45223334335655263,0.404386885962547,0.5267613504069608,2.6192366044178526,2.6492298145647726,2.729022536511385,0.23195993184701358,0.2249759834760403,0.26902764847635785,0.4522333433565531,0.40438688596254746,0.5267613504069608,2097.032153297294,2850.097725297064,3480.984517178877,0.002162916556595466,3.044404317616232,0.34400365266287747,0.0022627822236969512,3.0607990579699207,0.3164356722625985,0.0019548326140141304,3.166646613223116,0.40011244950081415
2491485.0,1.832999945,46.30333474331502,0.013239496286960417,1779.3860184450396,2324.392931012797,2844.406371204073,3.4943197588484733,3.528996620462911,3.397713185221242,0.32168097188003353,0.3307239194133116,0.3138515288666892,0.5642200886546109,0.5969315832702207,0.5548793715657983,3.0420731927594504,3.076750054373888,2.945466619132219,0.32168097188003353,0.3307239194133116,0.3138515288666892,0.5642200886546105,0.5969315832702207,0.5548793715657983,1666.0783945055812,2264.384089142649,2765.6195383371246,0.0016286068783444509,3.574587335539677,0.44541947323360365,0.0015266609845406634,3.6171643724241127,0.4664130104318118,0.001836548481455487,3.4774157543432835,0.4367866399447474
2491958.0,1.114099979,45.926263279748305,0.008415421672911094,1527.3775670976988,1995.1969854477488,2441.562672771479,3.8994453616433207,4.031879323997523,4.0151780373577495,0.40043055427585816,0.4140923074011944,0.39406231070961484,0.5474860669760169,0.4885029879144458,0.5011967295190569,3.5743198397403693,3.706753802094572,3.690052515454798,0.4004305542758577,0.4140923074011944,0.3940623107096144,0.5474860669760173,0.4885029879144449,0.5011967295190565,2232.628563873611,3034.3881858578843,3706.068813124945,0.002296049651101567,3.947590740092709,0.47660048646804964,0.0020790759735733696,4.055930068784129,0.4538133524805521,0.0023317036150561,4.05005208796374,0.4501249339203939
2491991.0,1.680699944,46.157459336529,0.007817603410838814,1690.6500043347628,2208.478024530379,2702.55896919341,3.359395293050243,3.4486321817551113,3.6953269407462743,0.3009899545071151,0.32895564888929707,0.3782564905674337,0.5803227504257547,0.5879185390356385,0.5995508621526184,2.931147087779734,3.0203839764846028,3.2670787354757653,0.30098995450711463,0.32895564888929707,0.37825649056743327,0.5803227504257547,0.5879185390356381,0.5995508621526184,1760.7341733879637,2393.031720822836,2922.7441204437914,0.0012038582564475814,3.4520806004522253,0.4431123316400839,0.0015641392501197005,3.5343778243593595,0.46099232194551254,0.0021740110157984103,3.7682389504875977,0.49162907659797084
2493793.0,2.122999907,47.082422464016325,0.007584988612823196,2439.64809787522,3186.886225966561,3899.8567602303046,4.03337322797874,4.113353519803023,4.027822793465565,0.4411410241629601,0.40909593270318645,0.40906774623268927,0.5019743876482536,0.4567325744384467,0.4975322554666084,3.538801256681422,3.618781548505705,3.5332508221682475,0.4411410241629601,0.409095932703186,0.4090677462326897,0.5019743876482536,0.4567325744384467,0.49753225546660795,1511.3673200631317,2054.1146945349556,2508.8057103166607,0.002134765032421562,4.0528433400371995,0.474186385114628,0.0021571027543936076,4.1284831541508575,0.43532753524109524,0.00205522230311479,4.056563482104717,0.4558268568799665
2494474.0,1.821400046,46.749497308319924,0.0069956003731768135,1450.3770367762172,1894.6120159649076,2318.4748229389215,3.310135688283981,3.4404786622038332,3.3152437054015604,0.2754130864164317,0.2965624280294974,0.2790812354858856,0.5142789907454697,0.5657621671432005,0.559024092395946,2.85967101919611,2.990013993115962,2.8647790363136894,0.27541308641643125,0.2965624280294974,0.2790812354858856,0.5142789907454697,0.5657621671432005,0.559024092395946,1672.9283061761175,2273.6938737541936,2776.9901014597203,0.0016718205790342575,3.389228026358883,0.3970468655013421,0.0017683857848861289,3.5296001592723756,0.4335655980711353,0.001346106578882459,3.4081054024729003,0.4213882832991752
2495465.0,0.955200016,45.690570792385806,0.006828088527289111,2075.3567301967905,2711.01630730738,3317.52517143617,2.750434776552129,2.953640476316243,2.753330383109465,0.1744572400777562,0.2103688856039132,0.17675650909360208,0.253038719748389,0.3759044080114311,0.2769909091238332,2.459243584435704,2.662449284199818,2.46213919099304,0.1744572400777562,0.21036888560391276,0.17675650909360163,0.253038719748389,0.37590440801143155,0.2769909091238332,2414.075266660595,3280.994244836381,4007.2626513317296,0.002699161833344236,2.7761657078475293,0.21493969318951608,0.002610807741272139,3.0082049413184437,0.2947709318974923,0.0026714012419323885,2.7862555840336025,0.22813859219473612
2498197.0,2.288800001,46.52238932599014,0.02060988869865099,1547.8469238852963,2021.935887364629,2474.283604743267,2.765976856910248,3.0890369058479807,3.0546276411484383,0.19220685641218793,0.25131499612650954,0.2246000582562142,0.29189698725191127,0.46393520363013074,0.3933439114817423,2.2489393930059016,2.571999441943635,2.5375901772440925,0.1922068564121875,0.25131499612651,0.2246000582562142,0.2918969872519117,0.46393520363013074,0.3933439114817423,1435.173923183175,1950.5594739873027,2382.3279000296984,6.30558035492513,2.4964688517395492,0.39954597442606554,0.002237781183181187,3.1592682096859357,0.3596187188318959,0.002240578213403966,3.1103201545807266,0.3106943871267388
2498342.0,1.298400044,45.3229704151149,0.023350885124489906,2636.5244467177586,3444.063695492317,4214.570001304593,3.5634373726749713,3.806134706848077,3.7305641508442227,0.38528311966255524,0.4234728979644262,0.40415822667194146,0.6291386901371183,0.5718670149139031,0.6004633234302865,3.2020117513770545,3.44470908555016,3.3691385295463054,0.38528311966255524,0.4234728979644258,0.404158226671941,0.6291386901371179,0.5718670149139036,0.600463323430287,2053.6024667775373,2791.0719966902334,3408.8930777970345,12.466233485604633,3.0027503542452987,0.8445864012936677,3.0659777588658272,3.281497297846801,0.7803933395038345,4.904873831745599,3.1772853428551717,0.8213137382763239
2499447.0,2.081700087,46.4968604560098,0.02546262626042406,1753.5475700140473,2290.6404420875324,2803.1027717729794,3.328619136692726,3.3949983288169734,3.550987355579953,0.2878652094597989,0.28972314021897283,0.3345614849816152,0.5511940331263161,0.5458071139819181,0.5798896455250251,2.8398287660672294,2.906207958191477,3.062196984954457,0.28786520945979843,0.2897231402189724,0.33456148498161475,0.5511940331263161,0.5458071139819185,0.5798896455250255,1531.6221133623894,2081.6431900889256,2542.427808939475,0.0009773975222806793,3.4160664185693075,0.42186778395395663,0.0019561761944975986,3.4797039721626666,0.42009384920001935,0.00196668212244552,3.6320419354068303,0.4597742526033627
2499604.0,0.809199989,46.72015346091425,0.001646822486804922,1544.8892378592514,2018.0722937318649,2469.5556475213402,3.2632650934727754,3.6062059208891712,3.6927405633840547,0.2778345424972066,0.37835573154324376,0.39933470392422565,0.5587063501508873,0.6095492839314884,0.5965712236752667,3.0057785170394204,3.3487193444558163,3.4352539869506993,0.27783454249720707,0.37835573154324376,0.39933470392422565,0.5587063501508869,0.609549283931488,0.5965712236752667,2608.88792211904,3545.766106015602,4330.643404619212,0.0012853099886585956,3.356457690063035,0.4206016872252227,0.0017724478757498489,3.6825679937001947,0.4967058065502033,0.0022712789118159594,3.7575786424126827,0.5007288816232826
2499707.0,1.720199943,46.32712797176364,0.006545761134717054,1120.08641416434,1463.1569070561852,1790.4945299796843,3.73798444072375,4.03355365423118,4.1620505079949135,0.3804054348921131,0.40857296028592005,0.40623959293223466,0.5921100556737677,0.5044521078892172,0.4452882933215303,3.3033836135460843,3.5989528270535147,3.7274496808172475,0.3804054348921131,0.4085729602859205,0.4062395929322342,0.5921100556737677,0.5044521078892168,0.44528829332153075,1735.1665682319294,2358.282528645726,2880.3029792578745,0.002241167287233595,3.8076782784550725,0.48896843887755337,0.0023185733824982787,4.064664132849568,0.4590574634137428,1.3565619743893047,3.819376870997908,0.5631262324234212
2500072.0,2.087599993,46.12357711652244,0.0381817017131425,1422.7763110922633,1858.5574831060571,2274.354166054194,2.765364965633069,3.1179736685298947,2.9896068616290723,0.18436765018531975,0.24584642933643686,0.23289942033924538,0.2974047206504502,0.43884872217789184,0.38594463835692006,2.275743934359701,2.6283526372565267,2.4999858303557043,0.18436765018531975,0.24584642933643686,0.23289942033924582,0.2974047206504502,0.43884872217789184,0.38594463835692006,1528.6954303345212,2077.665505422872,2537.5696391252063,0.002740274668154223,2.802514373622052,0.2422292202313146,0.0022228589458613366,3.1816971977100663,0.34425602194531985,0.0022931870884710555,3.040052629327037,0.3111469608996712
2505602.0,3.258599997,46.76049594024814,0.023924469699387885,2009.690339202403,2625.2370028449,3212.5553116180968,3.235260118146746,3.5738545181253665,3.396446804815514,0.29873169532516464,0.395901542868339,0.3467144231643431,0.5225782483800736,0.6146446901128595,0.6262752960593962,2.60599326869379,2.9445876686724106,2.767179955362558,0.2987316953251642,0.395901542868339,0.3467144231643431,0.5225782483800736,0.6146446901128599,0.6262752960593962,1108.3454664267686,1506.3635947304492,1839.8065104774853,0.0016377562976615913,3.3093360271289267,0.412943904110171,0.0018251252096365962,3.6460290009018905,0.5080895410233242,0.0015083820788851818,3.4890449984522904,0.48920644976991323
2505672.0,2.352600098,46.80072744650076,0.018266194739460673,2495.683560936151,3260.084752241752,3989.4312687920656,3.510677236589244,3.630000739022388,3.759416070521263,0.3298455967520191,0.37722113820284386,0.40151702720868343,0.5855357533409573,0.6089100753483514,0.5794577099440956,2.9852954832169645,3.104618985650109,3.234034317148984,0.3298455967520191,0.3772211382028443,0.4015170272086839,0.5855357533409573,0.608910075348351,0.5794577099440952,1407.8625132820719,1913.4402590475615,2336.9921168569986,0.0016254740317546603,3.5953103789395726,0.4602417715839023,0.0019277580978083759,3.7064677587889,0.4958140526302087,4.13068303058562,3.224715398128213,0.792926963331085
2506575.0,1.37349999,45.87376923738447,0.010130237247881979,1998.073125299282,2610.0615605324583,3193.9848176953933,3.591209569227792,3.8259118079352006,3.6720608082400714,0.4142010042422619,0.4437073168435446,0.4202803593144675,0.6588421163960305,0.5911624382960521,0.629426456647086,3.215820335003177,3.4505225737105856,3.2966715740154564,0.4142010042422619,0.44370731684354414,0.42028035931446706,0.6588421163960305,0.5911624382960521,0.629426456647086,1988.6244027327762,2702.759649053127,3301.0322447905296,0.0016412889220965374,3.6720500891798125,0.539512057387423,0.0018264785413571794,3.8743052462683085,0.5203190985578331,0.001808714322880994,3.74101451058606,0.5277789664849164
2507583.0,0.911300004,45.65374972677021,0.0062505253928151205,958.6975977126634,1252.3364216661648,1532.5092625909977,3.026886221686411,3.2825362193377288,3.033579013632489,0.23840804606821964,0.30524000112338223,0.24264484818753518,0.4540571088717864,0.5931593297912565,0.44321149008089167,2.7455573609758086,3.001207358627126,2.7522501529218864,0.23840804606821964,0.30524000112338223,0.24264484818753473,0.4540571088717864,0.5931593297912565,0.44321149008089167,2469.5233558948917,3356.3543067935866,4099.304129965355,22.902167583096897,2.658085132990979,0.5794634693737345,0.0011500248405531244,3.3780948518180933,0.4517032448643329,0.0022464211565343508,3.0998164732123947,0.3448398653367436
2508159.0,1.387300014,46.13801048975002,0.008894016099862512,1879.5807732921096,2455.27626800485,3004.5709426315166,3.3524719305431963,3.673030305876356,3.644124373382312,0.35451843657228377,0.42784829085783116,0.42009968864332636,0.6517832136966875,0.6357862922069479,0.6154161068265407,2.9745649299540178,3.2951233052871776,3.2662173727931334,0.35451843657228377,0.4278482908578307,0.42009968864332636,0.6517832136966879,0.6357862922069484,0.6154161068265407,1977.128962560296,2687.1360794119278,3281.950301199135,0.001487408022440656,3.4509597291253553,0.5059552428124333,0.0017835655237037774,3.741581939361942,0.5347816573238886,0.001829639347698688,3.7084697878180912,0.5206439176938729
